Input Board,decision,Output Board,Input Graph,Output Graph
  O X O X,1,X O X O X,"[[0, 0, 2], [0, 1, 0], [2, 0, 1]]","[[1, 0, 2], [0, 1, 0], [2, 0, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
XOO     X,5,XOO X   X,"[[1, 2, 2], [0, 0, 0], [0, 0, 1]]","[[1, 2, 2], [0, 1, 0], [0, 0, 1]]"
OXXOX    ,7,OXXOX O  ,"[[2, 1, 1], [2, 1, 0], [0, 0, 0]]","[[2, 1, 1], [2, 1, 0], [2, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
OOX    X ,3,OOX    X ,"[[2, 2, 1], [0, 0, 0], [0, 1, 0]]","[[2, 2, 1], [0, 0, 0], [0, 1, 0]]"
X  O     ,3,X XO     ,"[[1, 0, 0], [2, 0, 0], [0, 0, 0]]","[[1, 0, 1], [2, 0, 0], [0, 0, 0]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
 XX OOX O,1,XXX OOX O,"[[0, 1, 1], [0, 2, 2], [1, 0, 2]]","[[1, 1, 1], [0, 2, 2], [1, 0, 2]]"
  O X    ,5,  O X    ,"[[0, 0, 2], [0, 1, 0], [0, 0, 0]]","[[0, 0, 2], [0, 1, 0], [0, 0, 0]]"
O  X     ,1,X  X     ,"[[2, 0, 0], [1, 0, 0], [0, 0, 0]]","[[1, 0, 0], [1, 0, 0], [0, 0, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
 X  O XO ,7, X  O XO ,"[[0, 1, 0], [0, 2, 0], [1, 2, 0]]","[[0, 1, 0], [0, 2, 0], [1, 2, 0]]"
X O   XO ,4,X OX  XO ,"[[1, 0, 2], [0, 0, 0], [1, 2, 0]]","[[1, 0, 2], [1, 0, 0], [1, 2, 0]]"
   XX O  ,6,   XXOO  ,"[[0, 0, 0], [1, 1, 0], [2, 0, 0]]","[[0, 0, 0], [1, 1, 2], [2, 0, 0]]"
     X  O,5,    XX  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 2]]","[[0, 0, 0], [0, 1, 1], [0, 0, 2]]"
    O  XX,7,    O OXX,"[[0, 0, 0], [0, 2, 0], [0, 1, 1]]","[[0, 0, 0], [0, 2, 0], [2, 1, 1]]"
XOX OOOXX,4,XOXXOOOXX,"[[1, 2, 1], [0, 2, 2], [2, 1, 1]]","[[1, 2, 1], [1, 2, 2], [2, 1, 1]]"
      XO ,7,      XO ,"[[0, 0, 0], [0, 0, 0], [1, 2, 0]]","[[0, 0, 0], [0, 0, 0], [1, 2, 0]]"
OXX   XOO,5,OXX X XOO,"[[2, 1, 1], [0, 0, 0], [1, 2, 2]]","[[2, 1, 1], [0, 1, 0], [1, 2, 2]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
X OO   X ,1,X OO   X ,"[[1, 0, 2], [2, 0, 0], [0, 1, 0]]","[[1, 0, 2], [2, 0, 0], [0, 1, 0]]"
 OX  XO  ,9, OX  XO X,"[[0, 2, 1], [0, 0, 1], [2, 0, 0]]","[[0, 2, 1], [0, 0, 1], [2, 0, 1]]"
XO     OX,5,XO  X  OX,"[[1, 2, 0], [0, 0, 0], [0, 2, 1]]","[[1, 2, 0], [0, 1, 0], [0, 2, 1]]"
X X  OO X,2,XOX  OO X,"[[1, 0, 1], [0, 0, 2], [2, 0, 1]]","[[1, 2, 1], [0, 0, 2], [2, 0, 1]]"
     X O ,9,     X OX,"[[0, 0, 0], [0, 0, 1], [0, 2, 0]]","[[0, 0, 0], [0, 0, 1], [0, 2, 1]]"
XOX O XXO,4,XOXOO XXO,"[[1, 2, 1], [0, 2, 0], [1, 1, 2]]","[[1, 2, 1], [2, 2, 0], [1, 1, 2]]"
XOOXX OX ,6,XOOXXOOX ,"[[1, 2, 2], [1, 1, 0], [2, 1, 0]]","[[1, 2, 2], [1, 1, 2], [2, 1, 0]]"
X    O  X,5,X   OO  X,"[[1, 0, 0], [0, 0, 2], [0, 0, 1]]","[[1, 0, 0], [0, 2, 2], [0, 0, 1]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
 OX      ,5, OX X    ,"[[0, 2, 1], [0, 0, 0], [0, 0, 0]]","[[0, 2, 1], [0, 1, 0], [0, 0, 0]]"
   X OOXX,1,O  X OOXX,"[[0, 0, 0], [1, 0, 2], [2, 1, 1]]","[[2, 0, 0], [1, 0, 2], [2, 1, 1]]"
 OXX O X ,1,OOXX O X ,"[[0, 2, 1], [1, 0, 2], [0, 1, 0]]","[[2, 2, 1], [1, 0, 2], [0, 1, 0]]"
O  X X O ,5,O  XXX O ,"[[2, 0, 0], [1, 0, 1], [0, 2, 0]]","[[2, 0, 0], [1, 1, 1], [0, 2, 0]]"
XOXX OOX ,3,XOOX OOX ,"[[1, 2, 1], [1, 0, 2], [2, 1, 0]]","[[1, 2, 2], [1, 0, 2], [2, 1, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
XXOOO X  ,6,XXOOOXX  ,"[[1, 1, 2], [2, 2, 0], [1, 0, 0]]","[[1, 1, 2], [2, 2, 1], [1, 0, 0]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
 XXOOXXOO,1,XXXOOXXOO,"[[0, 1, 1], [2, 2, 1], [1, 2, 2]]","[[1, 1, 1], [2, 2, 1], [1, 2, 2]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
XOXO  XOX,5,XOXOO XOX,"[[1, 2, 1], [2, 0, 0], [1, 2, 1]]","[[1, 2, 1], [2, 2, 0], [1, 2, 1]]"
  XXO    ,3,  OXO    ,"[[0, 0, 1], [1, 2, 0], [0, 0, 0]]","[[0, 0, 2], [1, 2, 0], [0, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 XOOXX   ,8, XOOXX O ,"[[0, 1, 2], [2, 1, 1], [0, 0, 0]]","[[0, 1, 2], [2, 1, 1], [0, 2, 0]]"
   X  OX ,5,   XO OX ,"[[0, 0, 0], [1, 0, 0], [2, 1, 0]]","[[0, 0, 0], [1, 2, 0], [2, 1, 0]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
XXOOO XOX,6,XXOOOXXOX,"[[1, 1, 2], [2, 2, 0], [1, 2, 1]]","[[1, 1, 2], [2, 2, 1], [1, 2, 1]]"
X   O OXX,3,X O O OXX,"[[1, 0, 0], [0, 2, 0], [2, 1, 1]]","[[1, 0, 2], [0, 2, 0], [2, 1, 1]]"
 OOXX    ,6, OOXXX   ,"[[0, 2, 2], [1, 1, 0], [0, 0, 0]]","[[0, 2, 2], [1, 1, 1], [0, 0, 0]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
X XXO  OO,2,XXXXO  OO,"[[1, 0, 1], [1, 2, 0], [0, 2, 2]]","[[1, 1, 1], [1, 2, 0], [0, 2, 2]]"
 XX OO   ,1,XXX OO   ,"[[0, 1, 1], [0, 2, 2], [0, 0, 0]]","[[1, 1, 1], [0, 2, 2], [0, 0, 0]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
XX  O OX ,3,XXO O OX ,"[[1, 1, 0], [0, 2, 0], [2, 1, 0]]","[[1, 1, 2], [0, 2, 0], [2, 1, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
XX X   OO,7,XX X  OOO,"[[1, 1, 0], [1, 0, 0], [0, 2, 2]]","[[1, 1, 0], [1, 0, 0], [2, 2, 2]]"
    X  O ,5,    X  O ,"[[0, 0, 0], [0, 1, 0], [0, 2, 0]]","[[0, 0, 0], [0, 1, 0], [0, 2, 0]]"
X XOO  X ,6,X XOOO X ,"[[1, 0, 1], [2, 2, 0], [0, 1, 0]]","[[1, 0, 1], [2, 2, 2], [0, 1, 0]]"
X X OOO X,2,XXX OOO X,"[[1, 0, 1], [0, 2, 2], [2, 0, 1]]","[[1, 1, 1], [0, 2, 2], [2, 0, 1]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
 O O  XX ,9, O O  XXX,"[[0, 2, 0], [2, 0, 0], [1, 1, 0]]","[[0, 2, 0], [2, 0, 0], [1, 1, 1]]"
O  XOX   ,9,O  XOX  X,"[[2, 0, 0], [1, 2, 1], [0, 0, 0]]","[[2, 0, 0], [1, 2, 1], [0, 0, 1]]"
XX OXXO O,8,XX OXXOOO,"[[1, 1, 0], [2, 1, 1], [2, 0, 2]]","[[1, 1, 0], [2, 1, 1], [2, 2, 2]]"
 OX XXOO ,4, OXXXXOO ,"[[0, 2, 1], [0, 1, 1], [2, 2, 0]]","[[0, 2, 1], [1, 1, 1], [2, 2, 0]]"
 XO   XXO,6, XO  OXXO,"[[0, 1, 2], [0, 0, 0], [1, 1, 2]]","[[0, 1, 2], [0, 0, 2], [1, 1, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
OXOX  OXX,5,OXOXO OXX,"[[2, 1, 2], [1, 0, 0], [2, 1, 1]]","[[2, 1, 2], [1, 2, 0], [2, 1, 1]]"
    X    ,5,    O    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 2, 0], [0, 0, 0]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
 XO     X,5, XO O   X,"[[0, 1, 2], [0, 0, 0], [0, 0, 1]]","[[0, 1, 2], [0, 2, 0], [0, 0, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
    XO   ,1,X   XO   ,"[[0, 0, 0], [0, 1, 2], [0, 0, 0]]","[[1, 0, 0], [0, 1, 2], [0, 0, 0]]"
XO  OX   ,8,XO  OX X ,"[[1, 2, 0], [0, 2, 1], [0, 0, 0]]","[[1, 2, 0], [0, 2, 1], [0, 1, 0]]"
OXX    XO,5,OXX O  XO,"[[2, 1, 1], [0, 0, 0], [0, 1, 2]]","[[2, 1, 1], [0, 2, 0], [0, 1, 2]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
 OXO  XOX,5, OXOX XOX,"[[0, 2, 1], [2, 0, 0], [1, 2, 1]]","[[0, 2, 1], [2, 1, 0], [1, 2, 1]]"
 O  XX   ,4, O OXX   ,"[[0, 2, 0], [0, 1, 1], [0, 0, 0]]","[[0, 2, 0], [2, 1, 1], [0, 0, 0]]"
  X    O ,1,X X    O ,"[[0, 0, 1], [0, 0, 0], [0, 2, 0]]","[[1, 0, 1], [0, 0, 0], [0, 2, 0]]"
X OOXXO  ,9,X OOXXO X,"[[1, 0, 2], [2, 1, 1], [2, 0, 0]]","[[1, 0, 2], [2, 1, 1], [2, 0, 1]]"
OO OX  XX,7,OO OX XXX,"[[2, 2, 0], [2, 1, 0], [0, 1, 1]]","[[2, 2, 0], [2, 1, 0], [1, 1, 1]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
XXO  O   ,9,XXO  O  X,"[[1, 1, 2], [0, 0, 2], [0, 0, 0]]","[[1, 1, 2], [0, 0, 2], [0, 0, 1]]"
 XXX OO O,1,XXXX OO O,"[[0, 1, 1], [1, 0, 2], [2, 0, 2]]","[[1, 1, 1], [1, 0, 2], [2, 0, 2]]"
 O X O  X,7, O X OX X,"[[0, 2, 0], [1, 0, 2], [0, 0, 1]]","[[0, 2, 0], [1, 0, 2], [1, 0, 1]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
  X X  O ,7,  X X OO ,"[[0, 0, 1], [0, 1, 0], [0, 2, 0]]","[[0, 0, 1], [0, 1, 0], [2, 2, 0]]"
   O  XOX,3,  XO  XOX,"[[0, 0, 0], [2, 0, 0], [1, 2, 1]]","[[0, 0, 1], [2, 0, 0], [1, 2, 1]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
 OX   XXO,5, OX O XXO,"[[0, 2, 1], [0, 0, 0], [1, 1, 2]]","[[0, 2, 1], [0, 2, 0], [1, 1, 2]]"
 XOXOOXX ,9, XOXOOXXO,"[[0, 1, 2], [1, 2, 2], [1, 1, 0]]","[[0, 1, 2], [1, 2, 2], [1, 1, 2]]"
     O X ,5,    XO X ,"[[0, 0, 0], [0, 0, 2], [0, 1, 0]]","[[0, 0, 0], [0, 1, 2], [0, 1, 0]]"
 X OX XO ,3, XOOX XO ,"[[0, 1, 0], [2, 1, 0], [1, 2, 0]]","[[0, 1, 2], [2, 1, 0], [1, 2, 0]]"
    X    ,5,    O    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 2, 0], [0, 0, 0]]"
  O     X,7,  O   X X,"[[0, 0, 2], [0, 0, 0], [0, 0, 1]]","[[0, 0, 2], [0, 0, 0], [1, 0, 1]]"
OX OXXXOO,3,OXXOXXXOO,"[[2, 1, 0], [2, 1, 1], [1, 2, 2]]","[[2, 1, 1], [2, 1, 1], [1, 2, 2]]"
XOOX   XO,7,XOOX  XXO,"[[1, 2, 2], [1, 0, 0], [0, 1, 2]]","[[1, 2, 2], [1, 0, 0], [1, 1, 2]]"
XOX XO XO,7,XOX XOOXO,"[[1, 2, 1], [0, 1, 2], [0, 1, 2]]","[[1, 2, 1], [0, 1, 2], [2, 1, 2]]"
O   O XX ,9,O   O XXX,"[[2, 0, 0], [0, 2, 0], [1, 1, 0]]","[[2, 0, 0], [0, 2, 0], [1, 1, 1]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
 OXXXOOOX,1,XOXXXOOOX,"[[0, 2, 1], [1, 1, 2], [2, 2, 1]]","[[1, 2, 1], [1, 1, 2], [2, 2, 1]]"
  O XX   ,4,  OOXX   ,"[[0, 0, 2], [0, 1, 1], [0, 0, 0]]","[[0, 0, 2], [2, 1, 1], [0, 0, 0]]"
O OXX   X,2,OOOXX   X,"[[2, 0, 2], [1, 1, 0], [0, 0, 1]]","[[2, 2, 2], [1, 1, 0], [0, 0, 1]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
     X  O,1,X    X  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 2]]","[[1, 0, 0], [0, 0, 1], [0, 0, 2]]"
XO       ,5,XO  X    ,"[[1, 2, 0], [0, 0, 0], [0, 0, 0]]","[[1, 2, 0], [0, 1, 0], [0, 0, 0]]"
XXO      ,1,OXO      ,"[[1, 1, 2], [0, 0, 0], [0, 0, 0]]","[[2, 1, 2], [0, 0, 0], [0, 0, 0]]"
O X X   O,7,O X X X O,"[[2, 0, 1], [0, 1, 0], [0, 0, 2]]","[[2, 0, 1], [0, 1, 0], [1, 0, 2]]"
O  XXO  X,1,O  XXO  X,"[[2, 0, 0], [1, 1, 2], [0, 0, 1]]","[[2, 0, 0], [1, 1, 2], [0, 0, 1]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
X OX O X ,9,X OX O XO,"[[1, 0, 2], [1, 0, 2], [0, 1, 0]]","[[1, 0, 2], [1, 0, 2], [0, 1, 2]]"
   OO  XX,7,   OO XXX,"[[0, 0, 0], [2, 2, 0], [0, 1, 1]]","[[0, 0, 0], [2, 2, 0], [1, 1, 1]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
OX    X O,5,OX  X X O,"[[2, 1, 0], [0, 0, 0], [1, 0, 2]]","[[2, 1, 0], [0, 1, 0], [1, 0, 2]]"
 O XX OXO,6, O XXXOXO,"[[0, 2, 0], [1, 1, 0], [2, 1, 2]]","[[0, 2, 0], [1, 1, 1], [2, 1, 2]]"
XO XXOOXO,3,XOXXXOOXO,"[[1, 2, 0], [1, 1, 2], [2, 1, 2]]","[[1, 2, 1], [1, 1, 2], [2, 1, 2]]"
  X  X  O,5,  X OX  O,"[[0, 0, 1], [0, 0, 1], [0, 0, 2]]","[[0, 0, 1], [0, 2, 1], [0, 0, 2]]"
 OXXXO XO,7, OXXXOOXO,"[[0, 2, 1], [1, 1, 2], [0, 1, 2]]","[[0, 2, 1], [1, 1, 2], [2, 1, 2]]"
  XX   O ,1,O XX   O ,"[[0, 0, 1], [1, 0, 0], [0, 2, 0]]","[[2, 0, 1], [1, 0, 0], [0, 2, 0]]"
O   XOOXX,2,OX  XOOXX,"[[2, 0, 0], [0, 1, 2], [2, 1, 1]]","[[2, 1, 0], [0, 1, 2], [2, 1, 1]]"
O  O XXXO,5,O  OXXXXO,"[[2, 0, 0], [2, 0, 1], [1, 1, 2]]","[[2, 0, 0], [2, 1, 1], [1, 1, 2]]"
  X  O X ,1,O X  O X ,"[[0, 0, 1], [0, 0, 2], [0, 1, 0]]","[[2, 0, 1], [0, 0, 2], [0, 1, 0]]"
X X O  OX,2,XOX O  OX,"[[1, 0, 1], [0, 2, 0], [0, 2, 1]]","[[1, 2, 1], [0, 2, 0], [0, 2, 1]]"
X X O    ,2,XOX O    ,"[[1, 0, 1], [0, 2, 0], [0, 0, 0]]","[[1, 2, 1], [0, 2, 0], [0, 0, 0]]"
 XO XOX  ,9, XO XOX O,"[[0, 1, 2], [0, 1, 2], [1, 0, 0]]","[[0, 1, 2], [0, 1, 2], [1, 0, 2]]"
    X    ,5,    O    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 2, 0], [0, 0, 0]]"
 X O OX X,5, X OOOX X,"[[0, 1, 0], [2, 0, 2], [1, 0, 1]]","[[0, 1, 0], [2, 2, 2], [1, 0, 1]]"
 XXX   OO,7, XXX  OOO,"[[0, 1, 1], [1, 0, 0], [0, 2, 2]]","[[0, 1, 1], [1, 0, 0], [2, 2, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
  O X  X ,2, OO X  X ,"[[0, 0, 2], [0, 1, 0], [0, 1, 0]]","[[0, 2, 2], [0, 1, 0], [0, 1, 0]]"
 OXOXO  X,1,XOXOXO  X,"[[0, 2, 1], [2, 1, 2], [0, 0, 1]]","[[1, 2, 1], [2, 1, 2], [0, 0, 1]]"
XO     X ,7,XO    OX ,"[[1, 2, 0], [0, 0, 0], [0, 1, 0]]","[[1, 2, 0], [0, 0, 0], [2, 1, 0]]"
    X XO ,3,  O X XO ,"[[0, 0, 0], [0, 1, 0], [1, 2, 0]]","[[0, 0, 2], [0, 1, 0], [1, 2, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
O XXOXXO ,2,OOXXOXXO ,"[[2, 0, 1], [1, 2, 1], [1, 2, 0]]","[[2, 2, 1], [1, 2, 1], [1, 2, 0]]"
X  O  X  ,3,X OO  X  ,"[[1, 0, 0], [2, 0, 0], [1, 0, 0]]","[[1, 0, 2], [2, 0, 0], [1, 0, 0]]"
 OO XOX X,1,XOO XOX X,"[[0, 2, 2], [0, 1, 2], [1, 0, 1]]","[[1, 2, 2], [0, 1, 2], [1, 0, 1]]"
OO X  XOX,3,OOXX  XOX,"[[2, 2, 0], [1, 0, 0], [1, 2, 1]]","[[2, 2, 1], [1, 0, 0], [1, 2, 1]]"
XO  OXOX ,3,XOX OXOX ,"[[1, 2, 0], [0, 2, 1], [2, 1, 0]]","[[1, 2, 1], [0, 2, 1], [2, 1, 0]]"
XOOO XOXX,5,XOOOXXOXX,"[[1, 2, 2], [2, 0, 1], [2, 1, 1]]","[[1, 2, 2], [2, 1, 1], [2, 1, 1]]"
 XOXOX OX,7, XOXOXOOX,"[[0, 1, 2], [1, 2, 1], [0, 2, 1]]","[[0, 1, 2], [1, 2, 1], [2, 2, 1]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
  X  OOX ,1,X X  OOX ,"[[0, 0, 1], [0, 0, 2], [2, 1, 0]]","[[1, 0, 1], [0, 0, 2], [2, 1, 0]]"
 X  O   X,7, X  O O X,"[[0, 1, 0], [0, 2, 0], [0, 0, 1]]","[[0, 1, 0], [0, 2, 0], [2, 0, 1]]"
 XO    OX,7, XO   XOX,"[[0, 1, 2], [0, 0, 0], [0, 2, 1]]","[[0, 1, 2], [0, 0, 0], [1, 2, 1]]"
       OX,9,       OX,"[[0, 0, 0], [0, 0, 0], [0, 2, 1]]","[[0, 0, 0], [0, 0, 0], [0, 2, 1]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 X XX O O,8, X XX OOO,"[[0, 1, 0], [1, 1, 0], [2, 0, 2]]","[[0, 1, 0], [1, 1, 0], [2, 2, 2]]"
XO XXO  O,7,XO XXOX O,"[[1, 2, 0], [1, 1, 2], [0, 0, 2]]","[[1, 2, 0], [1, 1, 2], [1, 0, 2]]"
OX O    X,7,OX O  X X,"[[2, 1, 0], [2, 0, 0], [0, 0, 1]]","[[2, 1, 0], [2, 0, 0], [1, 0, 1]]"
XO X O OX,5,XO XXO OX,"[[1, 2, 0], [1, 0, 2], [0, 2, 1]]","[[1, 2, 0], [1, 1, 2], [0, 2, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
 OX  XXOO,5, OX XXXOO,"[[0, 2, 1], [0, 0, 1], [1, 2, 2]]","[[0, 2, 1], [0, 1, 1], [1, 2, 2]]"
O   X XXO,2,OO  X XXO,"[[2, 0, 0], [0, 1, 0], [1, 1, 2]]","[[2, 2, 0], [0, 1, 0], [1, 1, 2]]"
    XOX  ,3,  O XOX  ,"[[0, 0, 0], [0, 1, 2], [1, 0, 0]]","[[0, 0, 2], [0, 1, 2], [1, 0, 0]]"
 XXOOXOXO,1,XXXOOXOXO,"[[0, 1, 1], [2, 2, 1], [2, 1, 2]]","[[1, 1, 1], [2, 2, 1], [2, 1, 2]]"
X   O    ,1,X   O    ,"[[1, 0, 0], [0, 2, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
  XXO O  ,9,  XXO O X,"[[0, 0, 1], [1, 2, 0], [2, 0, 0]]","[[0, 0, 1], [1, 2, 0], [2, 0, 1]]"
O XXOOOXX,2,OXXXOOOXX,"[[2, 0, 1], [1, 2, 2], [2, 1, 1]]","[[2, 1, 1], [1, 2, 2], [2, 1, 1]]"
 XO  X O ,7, XO  XXO ,"[[0, 1, 2], [0, 0, 1], [0, 2, 0]]","[[0, 1, 2], [0, 0, 1], [1, 2, 0]]"
X  OX  O ,9,X  OX  OX,"[[1, 0, 0], [2, 1, 0], [0, 2, 0]]","[[1, 0, 0], [2, 1, 0], [0, 2, 1]]"
   O   XX,7,   O  OXX,"[[0, 0, 0], [2, 0, 0], [0, 1, 1]]","[[0, 0, 0], [2, 0, 0], [2, 1, 1]]"
    O  XX,7,    O OXX,"[[0, 0, 0], [0, 2, 0], [0, 1, 1]]","[[0, 0, 0], [0, 2, 0], [2, 1, 1]]"
 X X  XOO,1,OX X  XOO,"[[0, 1, 0], [1, 0, 0], [1, 2, 2]]","[[2, 1, 0], [1, 0, 0], [1, 2, 2]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
XO O XO X,3,XOXO XO X,"[[1, 2, 0], [2, 0, 1], [2, 0, 1]]","[[1, 2, 1], [2, 0, 1], [2, 0, 1]]"
  OXOOXX ,1,X OXOOXX ,"[[0, 0, 2], [1, 2, 2], [1, 1, 0]]","[[1, 0, 2], [1, 2, 2], [1, 1, 0]]"
O X X O X,4,O XOX O X,"[[2, 0, 1], [0, 1, 0], [2, 0, 1]]","[[2, 0, 1], [2, 1, 0], [2, 0, 1]]"
O XOX   X,7,O XOX O X,"[[2, 0, 1], [2, 1, 0], [0, 0, 1]]","[[2, 0, 1], [2, 1, 0], [2, 0, 1]]"
OXO XX O ,4,OXOXXX O ,"[[2, 1, 2], [0, 1, 1], [0, 2, 0]]","[[2, 1, 2], [1, 1, 1], [0, 2, 0]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
    X    ,5,    O    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 2, 0], [0, 0, 0]]"
 X  O   X,7, X  O O X,"[[0, 1, 0], [0, 2, 0], [0, 0, 1]]","[[0, 1, 0], [0, 2, 0], [2, 0, 1]]"
 XOX O OX,7, XOX OXOX,"[[0, 1, 2], [1, 0, 2], [0, 2, 1]]","[[0, 1, 2], [1, 0, 2], [1, 2, 1]]"
XOX OOXX ,4,XOXOOOXX ,"[[1, 2, 1], [0, 2, 2], [1, 1, 0]]","[[1, 2, 1], [2, 2, 2], [1, 1, 0]]"
