Input Board,decision,Output Board,Input Graph,Output Graph
OXO  OXX ,5,OXO XOXX ,"[[2, 1, 2], [0, 0, 2], [1, 1, 0]]","[[2, 1, 2], [0, 1, 2], [1, 1, 0]]"
  OXOX   ,1,X OXOX   ,"[[0, 0, 2], [1, 2, 1], [0, 0, 0]]","[[1, 0, 2], [1, 2, 1], [0, 0, 0]]"
OXX  XXOO,5,OXX OXXOO,"[[2, 1, 1], [0, 0, 1], [1, 2, 2]]","[[2, 1, 1], [0, 2, 1], [1, 2, 2]]"
 X     OX,1,OX     OX,"[[0, 1, 0], [0, 0, 0], [0, 2, 1]]","[[2, 1, 0], [0, 0, 0], [0, 2, 1]]"
         ,5,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
         ,5,       X ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 0]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
 O    X X,5, O  O X X,"[[0, 2, 0], [0, 0, 0], [1, 0, 1]]","[[0, 2, 0], [0, 2, 0], [1, 0, 1]]"
OXO XOXOX,4,OXOXXOXOX,"[[2, 1, 2], [0, 1, 2], [1, 2, 1]]","[[2, 1, 2], [1, 1, 2], [1, 2, 1]]"
   OX XO ,1,X  OX XO ,"[[0, 0, 0], [2, 1, 0], [1, 2, 0]]","[[1, 0, 0], [2, 1, 0], [1, 2, 0]]"
    X    ,7,    X O  ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [2, 0, 0]]"
   X X OO,7,   X XXOO,"[[0, 0, 0], [1, 0, 1], [0, 2, 2]]","[[0, 0, 0], [1, 0, 1], [1, 2, 2]]"
  OXXOXOX,1,O OXXOXOX,"[[0, 0, 2], [1, 1, 2], [1, 2, 1]]","[[2, 0, 2], [1, 1, 2], [1, 2, 1]]"
XO       ,7,XO    X  ,"[[1, 2, 0], [0, 0, 0], [0, 0, 0]]","[[1, 2, 0], [0, 0, 0], [1, 0, 0]]"
 XXOO OXX,6, XXOOOOXX,"[[0, 1, 1], [2, 2, 0], [2, 1, 1]]","[[0, 1, 1], [2, 2, 2], [2, 1, 1]]"
X  O  O X,2,XX O  O X,"[[1, 0, 0], [2, 0, 0], [2, 0, 1]]","[[1, 1, 0], [2, 0, 0], [2, 0, 1]]"
O XO    X,7,O XO  X X,"[[2, 0, 1], [2, 0, 0], [0, 0, 1]]","[[2, 0, 1], [2, 0, 0], [1, 0, 1]]"
  O  X   ,1,X O  X   ,"[[0, 0, 2], [0, 0, 1], [0, 0, 0]]","[[1, 0, 2], [0, 0, 1], [0, 0, 0]]"
  OX XOX ,5,  OXOXOX ,"[[0, 0, 2], [1, 0, 1], [2, 1, 0]]","[[0, 0, 2], [1, 2, 1], [2, 1, 0]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
OOXX X O ,9,OOXX X OX,"[[2, 2, 1], [1, 0, 1], [0, 2, 0]]","[[2, 2, 1], [1, 0, 1], [0, 2, 1]]"
  OX    X,1,O OX    X,"[[0, 0, 2], [1, 0, 0], [0, 0, 1]]","[[2, 0, 2], [1, 0, 0], [0, 0, 1]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
 O X X   ,5, O XOX   ,"[[0, 2, 0], [1, 0, 1], [0, 0, 0]]","[[0, 2, 0], [1, 2, 1], [0, 0, 0]]"
       X ,2, O     X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [0, 0, 0], [0, 1, 0]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
  O XX   ,4,  OOXX   ,"[[0, 0, 2], [0, 1, 1], [0, 0, 0]]","[[0, 0, 2], [2, 1, 1], [0, 0, 0]]"
 XX  O XO,1,OXX  O XO,"[[0, 1, 1], [0, 0, 2], [0, 1, 2]]","[[2, 1, 1], [0, 0, 2], [0, 1, 2]]"
XOXXOXO O,8,XOXXOXOXO,"[[1, 2, 1], [1, 2, 1], [2, 0, 2]]","[[1, 2, 1], [1, 2, 1], [2, 1, 2]]"
 O X XOOX,3, OXX XOOX,"[[0, 2, 0], [1, 0, 1], [2, 2, 1]]","[[0, 2, 1], [1, 0, 1], [2, 2, 1]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
     OX  ,9,     OX X,"[[0, 0, 0], [0, 0, 2], [1, 0, 0]]","[[0, 0, 0], [0, 0, 2], [1, 0, 1]]"
 X    OOX,4, X X  OOX,"[[0, 1, 0], [0, 0, 0], [2, 2, 1]]","[[0, 1, 0], [1, 0, 0], [2, 2, 1]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
O   OX  X,7,O   OXX X,"[[2, 0, 0], [0, 2, 1], [0, 0, 1]]","[[2, 0, 0], [0, 2, 1], [1, 0, 1]]"
 XOX OX  ,9, XOX OX O,"[[0, 1, 2], [1, 0, 2], [1, 0, 0]]","[[0, 1, 2], [1, 0, 2], [1, 0, 2]]"
X XOOXXOO,2,XXXOOXXOO,"[[1, 0, 1], [2, 2, 1], [1, 2, 2]]","[[1, 1, 1], [2, 2, 1], [1, 2, 2]]"
OOX  X XO,5,OOX XX XO,"[[2, 2, 1], [0, 0, 1], [0, 1, 2]]","[[2, 2, 1], [0, 1, 1], [0, 1, 2]]"
XX  OO  X,3,XXO OO  X,"[[1, 1, 0], [0, 2, 2], [0, 0, 1]]","[[1, 1, 2], [0, 2, 2], [0, 0, 1]]"
      X O,1,X     X O,"[[0, 0, 0], [0, 0, 0], [1, 0, 2]]","[[1, 0, 0], [0, 0, 0], [1, 0, 2]]"
XX OO  OX,3,XXXOO  OX,"[[1, 1, 0], [2, 2, 0], [0, 2, 1]]","[[1, 1, 1], [2, 2, 0], [0, 2, 1]]"
 X XX  OO,6, X XXO OO,"[[0, 1, 0], [1, 1, 0], [0, 2, 2]]","[[0, 1, 0], [1, 1, 2], [0, 2, 2]]"
   X    O,7,   X  X O,"[[0, 0, 0], [1, 0, 0], [0, 0, 2]]","[[0, 0, 0], [1, 0, 0], [1, 0, 2]]"
XXOOO  XX,6,XXOOOO XX,"[[1, 1, 2], [2, 2, 0], [0, 1, 1]]","[[1, 1, 2], [2, 2, 2], [0, 1, 1]]"
O XX O OX,5,O XXXO OX,"[[2, 0, 1], [1, 0, 2], [0, 2, 1]]","[[2, 0, 1], [1, 1, 2], [0, 2, 1]]"
XO XOO  X,7,XO XOOX X,"[[1, 2, 0], [1, 2, 2], [0, 0, 1]]","[[1, 2, 0], [1, 2, 2], [1, 0, 1]]"
  XXOXOO ,9,  XXOXOOX,"[[0, 0, 1], [1, 2, 1], [2, 2, 0]]","[[0, 0, 1], [1, 2, 1], [2, 2, 1]]"
OXOXX XOO,6,OXOXXXXOO,"[[2, 1, 2], [1, 1, 0], [1, 2, 2]]","[[2, 1, 2], [1, 1, 1], [1, 2, 2]]"
OO  XX X ,4,OO OXX X ,"[[2, 2, 0], [0, 1, 1], [0, 1, 0]]","[[2, 2, 0], [2, 1, 1], [0, 1, 0]]"
X XXO  OO,2,XXXXO  OO,"[[1, 0, 1], [1, 2, 0], [0, 2, 2]]","[[1, 1, 1], [1, 2, 0], [0, 2, 2]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
OOX  XOX ,4,OOXX XOX ,"[[2, 2, 1], [0, 0, 1], [2, 1, 0]]","[[2, 2, 1], [1, 0, 1], [2, 1, 0]]"
  XOXO XO,1,X XOXO XO,"[[0, 0, 1], [2, 1, 2], [0, 1, 2]]","[[1, 0, 1], [2, 1, 2], [0, 1, 2]]"
         ,5,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
XX OO O X,3,XXXOO O X,"[[1, 1, 0], [2, 2, 0], [2, 0, 1]]","[[1, 1, 1], [2, 2, 0], [2, 0, 1]]"
OOXX OXXO,5,OOXXXOXXO,"[[2, 2, 1], [1, 0, 2], [1, 1, 2]]","[[2, 2, 1], [1, 1, 2], [1, 1, 2]]"
XXOXX O O,8,XXOXX OOO,"[[1, 1, 2], [1, 1, 0], [2, 0, 2]]","[[1, 1, 2], [1, 1, 0], [2, 2, 2]]"
O       X,3,O X     X,"[[2, 0, 0], [0, 0, 0], [0, 0, 1]]","[[2, 0, 1], [0, 0, 0], [0, 0, 1]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
XO X   O ,5,XO XX  O ,"[[1, 2, 0], [1, 0, 0], [0, 2, 0]]","[[1, 2, 0], [1, 1, 0], [0, 2, 0]]"
XOO OXXXO,4,XOOXOXXXO,"[[1, 2, 2], [0, 2, 1], [1, 1, 2]]","[[1, 2, 2], [1, 2, 1], [1, 1, 2]]"
OO XOX X ,9,OO XOX XX,"[[2, 2, 0], [1, 2, 1], [0, 1, 0]]","[[2, 2, 0], [1, 2, 1], [0, 1, 1]]"
 OOX    X,1,XOOX    X,"[[0, 2, 2], [1, 0, 0], [0, 0, 1]]","[[1, 2, 2], [1, 0, 0], [0, 0, 1]]"
X XOXX OO,7,X XOXXOOO,"[[1, 0, 1], [2, 1, 1], [0, 2, 2]]","[[1, 0, 1], [2, 1, 1], [2, 2, 2]]"
XOX      ,5,XOX O    ,"[[1, 2, 1], [0, 0, 0], [0, 0, 0]]","[[1, 2, 1], [0, 2, 0], [0, 0, 0]]"
XOO X    ,4,XOOXX    ,"[[1, 2, 2], [0, 1, 0], [0, 0, 0]]","[[1, 2, 2], [1, 1, 0], [0, 0, 0]]"
OX O  XX ,6,OX O OXX ,"[[2, 1, 0], [2, 0, 0], [1, 1, 0]]","[[2, 1, 0], [2, 0, 2], [1, 1, 0]]"
     X O ,5,    XX O ,"[[0, 0, 0], [0, 0, 1], [0, 2, 0]]","[[0, 0, 0], [0, 1, 1], [0, 2, 0]]"
X XO XOXO,2,XOXO XOXO,"[[1, 0, 1], [2, 0, 1], [2, 1, 2]]","[[1, 2, 1], [2, 0, 1], [2, 1, 2]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
     X XO,4,   O X XO,"[[0, 0, 0], [0, 0, 1], [0, 1, 2]]","[[0, 0, 0], [2, 0, 1], [0, 1, 2]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
 OOXXOX  ,1,XOOXXOX  ,"[[0, 2, 2], [1, 1, 2], [1, 0, 0]]","[[1, 2, 2], [1, 1, 2], [1, 0, 0]]"
    X    ,1,O   X    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[2, 0, 0], [0, 1, 0], [0, 0, 0]]"
XXOOO XOX,6,XXOOOXXOX,"[[1, 1, 2], [2, 2, 0], [1, 2, 1]]","[[1, 1, 2], [2, 2, 1], [1, 2, 1]]"
XX OOX XO,3,XXOOOX XO,"[[1, 1, 0], [2, 2, 1], [0, 1, 2]]","[[1, 1, 2], [2, 2, 1], [0, 1, 2]]"
OXO OXXX ,9,OXO OXXXO,"[[2, 1, 2], [0, 2, 1], [1, 1, 0]]","[[2, 1, 2], [0, 2, 1], [1, 1, 2]]"
XOOO X  X,8,XOOO X XX,"[[1, 2, 2], [2, 0, 1], [0, 0, 1]]","[[1, 2, 2], [2, 0, 1], [0, 1, 1]]"
   X    O,7,   X  X O,"[[0, 0, 0], [1, 0, 0], [0, 0, 2]]","[[0, 0, 0], [1, 0, 0], [1, 0, 2]]"
 XX     O,5, XX O   O,"[[0, 1, 1], [0, 0, 0], [0, 0, 2]]","[[0, 1, 1], [0, 2, 0], [0, 0, 2]]"
X XOO XOX,2,XOXOO XOX,"[[1, 0, 1], [2, 2, 0], [1, 2, 1]]","[[1, 2, 1], [2, 2, 0], [1, 2, 1]]"
XOX O   X,6,XOX OO  X,"[[1, 2, 1], [0, 2, 0], [0, 0, 1]]","[[1, 2, 1], [0, 2, 2], [0, 0, 1]]"
 OOXO X X,1,XOOXO X X,"[[0, 2, 2], [1, 2, 0], [1, 0, 1]]","[[1, 2, 2], [1, 2, 0], [1, 0, 1]]"
    X    ,3,  O X    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 2], [0, 1, 0], [0, 0, 0]]"
  X   O  ,1,X X   O  ,"[[0, 0, 1], [0, 0, 0], [2, 0, 0]]","[[1, 0, 1], [0, 0, 0], [2, 0, 0]]"
XX  OOOXX,4,XX OOOOXX,"[[1, 1, 0], [0, 2, 2], [2, 1, 1]]","[[1, 1, 0], [2, 2, 2], [2, 1, 1]]"
 X OXOXOX,3, XOOXOXOX,"[[0, 1, 0], [2, 1, 2], [1, 2, 1]]","[[0, 1, 2], [2, 1, 2], [1, 2, 1]]"
 X  O  X ,6, X  OO X ,"[[0, 1, 0], [0, 2, 0], [0, 1, 0]]","[[0, 1, 0], [0, 2, 2], [0, 1, 0]]"
  XO     ,1,X XO     ,"[[0, 0, 1], [2, 0, 0], [0, 0, 0]]","[[1, 0, 1], [2, 0, 0], [0, 0, 0]]"
XO    X  ,8,XO    XO ,"[[1, 2, 0], [0, 0, 0], [1, 0, 0]]","[[1, 2, 0], [0, 0, 0], [1, 2, 0]]"
O XX X  O,5,O XXOX  O,"[[2, 0, 1], [1, 0, 1], [0, 0, 2]]","[[2, 0, 1], [1, 2, 1], [0, 0, 2]]"
    X O  ,4,   XX O  ,"[[0, 0, 0], [0, 1, 0], [2, 0, 0]]","[[0, 0, 0], [1, 1, 0], [2, 0, 0]]"
  X OX   ,9,  X OX  O,"[[0, 0, 1], [0, 2, 1], [0, 0, 0]]","[[0, 0, 1], [0, 2, 1], [0, 0, 2]]"
 XX OO  X,4, XXOOO  X,"[[0, 1, 1], [0, 2, 2], [0, 0, 1]]","[[0, 1, 1], [2, 2, 2], [0, 0, 1]]"
O  O X  X,7,O  O XX X,"[[2, 0, 0], [2, 0, 1], [0, 0, 1]]","[[2, 0, 0], [2, 0, 1], [1, 0, 1]]"
OOXXOOXX ,9,OOXXOOXXX,"[[2, 2, 1], [1, 2, 2], [1, 1, 0]]","[[2, 2, 1], [1, 2, 2], [1, 1, 1]]"
XXOO XO  ,5,XXOOXXO  ,"[[1, 1, 2], [2, 0, 1], [2, 0, 0]]","[[1, 1, 2], [2, 1, 1], [2, 0, 0]]"
XXOXOO OX,7,XXOXOOXOX,"[[1, 1, 2], [1, 2, 2], [0, 2, 1]]","[[1, 1, 2], [1, 2, 2], [1, 2, 1]]"
  X OXO  ,2, XX OXO  ,"[[0, 0, 1], [0, 2, 1], [2, 0, 0]]","[[0, 1, 1], [0, 2, 1], [2, 0, 0]]"
 OXX OX O,5, OXXXOX O,"[[0, 2, 1], [1, 0, 2], [1, 0, 2]]","[[0, 2, 1], [1, 1, 2], [1, 0, 2]]"
XOX OXO  ,9,XOX OXO X,"[[1, 2, 1], [0, 2, 1], [2, 0, 0]]","[[1, 2, 1], [0, 2, 1], [2, 0, 1]]"
   X   O ,5,   XX  O ,"[[0, 0, 0], [1, 0, 0], [0, 2, 0]]","[[0, 0, 0], [1, 1, 0], [0, 2, 0]]"
XOXOXOOX ,9,XOXOXOOXX,"[[1, 2, 1], [2, 1, 2], [2, 1, 0]]","[[1, 2, 1], [2, 1, 2], [2, 1, 1]]"
O X XO X ,4,O XOXO X ,"[[2, 0, 1], [0, 1, 2], [0, 1, 0]]","[[2, 0, 1], [2, 1, 2], [0, 1, 0]]"
  XX XO O,5,  XXOXO O,"[[0, 0, 1], [1, 0, 1], [2, 0, 2]]","[[0, 0, 1], [1, 2, 1], [2, 0, 2]]"
   X     ,1,O  X     ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[2, 0, 0], [1, 0, 0], [0, 0, 0]]"
X X  OX O,8,X X  OXOO,"[[1, 0, 1], [0, 0, 2], [1, 0, 2]]","[[1, 0, 1], [0, 0, 2], [1, 2, 2]]"
   X     ,6,   X O   ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 2], [0, 0, 0]]"
   XOXOOX,3,  XXOXOOX,"[[0, 0, 0], [1, 2, 1], [2, 2, 1]]","[[0, 0, 1], [1, 2, 1], [2, 2, 1]]"
       X ,7,      OX ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [2, 1, 0]]"
X      O ,7,X     XO ,"[[1, 0, 0], [0, 0, 0], [0, 2, 0]]","[[1, 0, 0], [0, 0, 0], [1, 2, 0]]"
       X ,2, O     X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [0, 0, 0], [0, 1, 0]]"
  X OX O ,2, XX OX O ,"[[0, 0, 1], [0, 2, 1], [0, 2, 0]]","[[0, 1, 1], [0, 2, 1], [0, 2, 0]]"
XX O OXXO,3,XXOO OXXO,"[[1, 1, 0], [2, 0, 2], [1, 1, 2]]","[[1, 1, 2], [2, 0, 2], [1, 1, 2]]"
 X OXO   ,3, XXOXO   ,"[[0, 1, 0], [2, 1, 2], [0, 0, 0]]","[[0, 1, 1], [2, 1, 2], [0, 0, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
  XO     ,1,X XO     ,"[[0, 0, 1], [2, 0, 0], [0, 0, 0]]","[[1, 0, 1], [2, 0, 0], [0, 0, 0]]"
X  X OOOX,3,X XX OOOX,"[[1, 0, 0], [1, 0, 2], [2, 2, 1]]","[[1, 0, 1], [1, 0, 2], [2, 2, 1]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
 OX  X O ,5, OX XX O ,"[[0, 2, 1], [0, 0, 1], [0, 2, 0]]","[[0, 2, 1], [0, 1, 1], [0, 2, 0]]"
 O      X,3, OX     X,"[[0, 2, 0], [0, 0, 0], [0, 0, 1]]","[[0, 2, 1], [0, 0, 0], [0, 0, 1]]"
O   OX X ,9,O   OX XX,"[[2, 0, 0], [0, 2, 1], [0, 1, 0]]","[[2, 0, 0], [0, 2, 1], [0, 1, 1]]"
   X     ,6,   X O   ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 2], [0, 0, 0]]"
XO  X  O ,6,XO  XX O ,"[[1, 2, 0], [0, 1, 0], [0, 2, 0]]","[[1, 2, 0], [0, 1, 1], [0, 2, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
XX O  OX ,9,XX O  OXO,"[[1, 1, 0], [2, 0, 0], [2, 1, 0]]","[[1, 1, 0], [2, 0, 0], [2, 1, 2]]"
XX XOXOO ,3,XXOXOXOO ,"[[1, 1, 0], [1, 2, 1], [2, 2, 0]]","[[1, 1, 2], [1, 2, 1], [2, 2, 0]]"
O     X  ,9,O     X X,"[[2, 0, 0], [0, 0, 0], [1, 0, 0]]","[[2, 0, 0], [0, 0, 0], [1, 0, 1]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
  OX XOXO,5,  OXXXOXO,"[[0, 0, 2], [1, 0, 1], [2, 1, 2]]","[[0, 0, 2], [1, 1, 1], [2, 1, 2]]"
  OXOX OX,7,  OXOXXOX,"[[0, 0, 2], [1, 2, 1], [0, 2, 1]]","[[0, 0, 2], [1, 2, 1], [1, 2, 1]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
 OXX  OXO,6, OXX XOXO,"[[0, 2, 1], [1, 0, 0], [2, 1, 2]]","[[0, 2, 1], [1, 0, 1], [2, 1, 2]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
       X ,2, O     X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [0, 0, 0], [0, 1, 0]]"
  O   X  ,9,  O   X X,"[[0, 0, 2], [0, 0, 0], [1, 0, 0]]","[[0, 0, 2], [0, 0, 0], [1, 0, 1]]"
 OXXOX XO,1,OOXXOX XO,"[[0, 2, 1], [1, 2, 1], [0, 1, 2]]","[[2, 2, 1], [1, 2, 1], [0, 1, 2]]"
OO  XXOX ,4,OO XXXOX ,"[[2, 2, 0], [0, 1, 1], [2, 1, 0]]","[[2, 2, 0], [1, 1, 1], [2, 1, 0]]"
X   XX OO,7,X   XXOOO,"[[1, 0, 0], [0, 1, 1], [0, 2, 2]]","[[1, 0, 0], [0, 1, 1], [2, 2, 2]]"
OXOOOX XX,7,OXOOOXXXX,"[[2, 1, 2], [2, 2, 1], [0, 1, 1]]","[[2, 1, 2], [2, 2, 1], [1, 1, 1]]"
 OOX  X  ,1,XOOX  X  ,"[[0, 2, 2], [1, 0, 0], [1, 0, 0]]","[[1, 2, 2], [1, 0, 0], [1, 0, 0]]"
OO X   XX,3,OOOX   XX,"[[2, 2, 0], [1, 0, 0], [0, 1, 1]]","[[2, 2, 2], [1, 0, 0], [0, 1, 1]]"
 X   O   ,5, X  XO   ,"[[0, 1, 0], [0, 0, 2], [0, 0, 0]]","[[0, 1, 0], [0, 1, 2], [0, 0, 0]]"
 X    OX ,5, X  O OX ,"[[0, 1, 0], [0, 0, 0], [2, 1, 0]]","[[0, 1, 0], [0, 2, 0], [2, 1, 0]]"
 OXO XX O,5, OXOXXX O,"[[0, 2, 1], [2, 0, 1], [1, 0, 2]]","[[0, 2, 1], [2, 1, 1], [1, 0, 2]]"
OXOX O XX,7,OXOX OOXX,"[[2, 1, 2], [1, 0, 2], [0, 1, 1]]","[[2, 1, 2], [1, 0, 2], [2, 1, 1]]"
         ,5,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
OXO OXX X,8,OXO OXXOX,"[[2, 1, 2], [0, 2, 1], [1, 0, 1]]","[[2, 1, 2], [0, 2, 1], [1, 2, 1]]"
OO    X X,3,OOX   X X,"[[2, 2, 0], [0, 0, 0], [1, 0, 1]]","[[2, 2, 1], [0, 0, 0], [1, 0, 1]]"
X OOX XXO,6,X OOXOXXO,"[[1, 0, 2], [2, 1, 0], [1, 1, 2]]","[[1, 0, 2], [2, 1, 2], [1, 1, 2]]"
XOXO XO  ,9,XOXO XO X,"[[1, 2, 1], [2, 0, 1], [2, 0, 0]]","[[1, 2, 1], [2, 0, 1], [2, 0, 1]]"
XXOOO XXO,6,XXOOOXXXO,"[[1, 1, 2], [2, 2, 0], [1, 1, 2]]","[[1, 1, 2], [2, 2, 1], [1, 1, 2]]"
XX  OOXOX,4,XX OOOXOX,"[[1, 1, 0], [0, 2, 2], [1, 2, 1]]","[[1, 1, 0], [2, 2, 2], [1, 2, 1]]"
 X OX OOX,1,XX OX OOX,"[[0, 1, 0], [2, 1, 0], [2, 2, 1]]","[[1, 1, 0], [2, 1, 0], [2, 2, 1]]"
  X  O   ,1,X X  O   ,"[[0, 0, 1], [0, 0, 2], [0, 0, 0]]","[[1, 0, 1], [0, 0, 2], [0, 0, 0]]"
     O  X,7,     OX X,"[[0, 0, 0], [0, 0, 2], [0, 0, 1]]","[[0, 0, 0], [0, 0, 2], [1, 0, 1]]"
OX O XX O,5,OX OXXX O,"[[2, 1, 0], [2, 0, 1], [1, 0, 2]]","[[2, 1, 0], [2, 1, 1], [1, 0, 2]]"
 X O X O ,3, XXO X O ,"[[0, 1, 0], [2, 0, 1], [0, 2, 0]]","[[0, 1, 1], [2, 0, 1], [0, 2, 0]]"
     XO  ,9,     XO X,"[[0, 0, 0], [0, 0, 1], [2, 0, 0]]","[[0, 0, 0], [0, 0, 1], [2, 0, 1]]"
OXX  X  O,8,OXX  X OO,"[[2, 1, 1], [0, 0, 1], [0, 0, 2]]","[[2, 1, 1], [0, 0, 1], [0, 2, 2]]"
  XOXO XO,2, XXOXO XO,"[[0, 0, 1], [2, 1, 2], [0, 1, 2]]","[[0, 1, 1], [2, 1, 2], [0, 1, 2]]"
      XO ,1,X     XO ,"[[0, 0, 0], [0, 0, 0], [1, 2, 0]]","[[1, 0, 0], [0, 0, 0], [1, 2, 0]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
     OX  ,9,     OX X,"[[0, 0, 0], [0, 0, 2], [1, 0, 0]]","[[0, 0, 0], [0, 0, 2], [1, 0, 1]]"
XO OO X X,8,XO OO XXX,"[[1, 2, 0], [2, 2, 0], [1, 0, 1]]","[[1, 2, 0], [2, 2, 0], [1, 1, 1]]"
  XO    X,5,  XOO   X,"[[0, 0, 1], [2, 0, 0], [0, 0, 1]]","[[0, 0, 1], [2, 2, 0], [0, 0, 1]]"
   O OXX ,5,   OXOXX ,"[[0, 0, 0], [2, 0, 2], [1, 1, 0]]","[[0, 0, 0], [2, 1, 2], [1, 1, 0]]"
 X   OX  ,5, X  OOX  ,"[[0, 1, 0], [0, 0, 2], [1, 0, 0]]","[[0, 1, 0], [0, 2, 2], [1, 0, 0]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
XXOX  OO ,5,XXOXX OO ,"[[1, 1, 2], [1, 0, 0], [2, 2, 0]]","[[1, 1, 2], [1, 1, 0], [2, 2, 0]]"
X X OOOX ,2,XXX OOOX ,"[[1, 0, 1], [0, 2, 2], [2, 1, 0]]","[[1, 1, 1], [0, 2, 2], [2, 1, 0]]"
X O      ,7,X O   X  ,"[[1, 0, 2], [0, 0, 0], [0, 0, 0]]","[[1, 0, 2], [0, 0, 0], [1, 0, 0]]"
 OO X XOX,1,XOO X XOX,"[[0, 2, 2], [0, 1, 0], [1, 2, 1]]","[[1, 2, 2], [0, 1, 0], [1, 2, 1]]"
